
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 1000.0, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_minvol: 0.004, para_sv_L: 90, WD: 4e-05, RE: 0.1026, SAD: 0.6065, Class1_sad: 0.2391, Class2_sad: 0.2085, Class3_sad: 1.3719, RMSE: 0.2942, Class1_mse: 0.2564, Class2_mse: 0.2717, Class3_mse: 0.3464, TIME:2023-05-10 12:33:22
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 200.0, para_sv_a: 0.006, para_orth: 0.005, para_reg: 0.005, para_minvol: 0.006, para_sv_L: 90, WD: 4e-05, RE: 0.1071, SAD: 0.5957, Class1_sad: 0.2266, Class2_sad: 0.1697, Class3_sad: 1.3908, RMSE: 0.2000, Class1_mse: 0.1333, Class2_mse: 0.2319, Class3_mse: 0.2200, TIME:2023-05-10 12:33:58
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.9, para_sv_a: 0.01, para_orth: 0.009, para_reg: 0.005, para_minvol: 0.0, para_sv_L: 90, WD: 4e-05, RE: 0.1047, SAD: 0.4623, Class1_sad: 0.2358, Class2_sad: 0.1893, Class3_sad: 0.9619, RMSE: 0.1598, Class1_mse: 0.1810, Class2_mse: 0.1251, Class3_mse: 0.1680, TIME:2023-05-10 12:34:33
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 700.0, para_sv_a: 0.01, para_orth: 0.009, para_reg: 0.005, para_minvol: 0.004, para_sv_L: 90, WD: 4e-05, RE: 0.0929, SAD: 0.5732, Class1_sad: 0.2511, Class2_sad: 0.1613, Class3_sad: 1.3071, RMSE: 0.4070, Class1_mse: 0.4262, Class2_mse: 0.2645, Class3_mse: 0.4953, TIME:2023-05-10 12:35:08
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 800.0, para_sv_a: 0.004, para_orth: 0.009, para_reg: 0.005, para_minvol: 0.006, para_sv_L: 90, WD: 4e-05, RE: 0.0667, SAD: 0.4732, Class1_sad: 0.2740, Class2_sad: 0.1830, Class3_sad: 0.9626, RMSE: 0.1648, Class1_mse: 0.2115, Class2_mse: 0.1192, Class3_mse: 0.1501, TIME:2023-05-10 12:35:43
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 400.0, para_sv_a: 0.004, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.0, para_sv_L: 90, WD: 4e-05, RE: 0.0688, SAD: 0.4364, Class1_sad: 0.2312, Class2_sad: 0.2119, Class3_sad: 0.8662, RMSE: 0.1225, Class1_mse: 0.1347, Class2_mse: 0.1346, Class3_mse: 0.0935, TIME:2023-05-10 12:36:19
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.1, para_sv_a: 0.002, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.004, para_sv_L: 90, WD: 4e-05, RE: 0.0921, SAD: 0.5201, Class1_sad: 0.2525, Class2_sad: 0.1790, Class3_sad: 1.1287, RMSE: 0.3066, Class1_mse: 0.3763, Class2_mse: 0.0863, Class3_mse: 0.3646, TIME:2023-05-10 12:36:54
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.15000000000000002, para_sv_a: 0.01, para_orth: 0.001, para_reg: 0.005, para_minvol: 0.0, para_sv_L: 90, WD: 4e-05, RE: 0.0841, SAD: 0.5820, Class1_sad: 0.2574, Class2_sad: 0.2008, Class3_sad: 1.2880, RMSE: 0.3340, Class1_mse: 0.3366, Class2_mse: 0.2737, Class3_mse: 0.3828, TIME:2023-05-10 12:37:29
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.35000000000000003, para_sv_a: 0.002, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.008, para_sv_L: 90, WD: 4e-05, RE: 0.0914, SAD: 0.5901, Class1_sad: 0.2522, Class2_sad: 0.1898, Class3_sad: 1.3283, RMSE: 0.3541, Class1_mse: 0.4124, Class2_mse: 0.1528, Class3_mse: 0.4275, TIME:2023-05-10 12:38:04
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 900.0, para_sv_a: 0.002, para_orth: 0.003, para_reg: 0.005, para_minvol: 0.004, para_sv_L: 90, WD: 4e-05, RE: 0.0677, SAD: 0.5972, Class1_sad: 0.2373, Class2_sad: 0.1881, Class3_sad: 1.3662, RMSE: 0.3486, Class1_mse: 0.3744, Class2_mse: 0.2358, Class3_mse: 0.4109, TIME:2023-05-10 12:38:39
