LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.008, para_reg: 0.00625, para_sv_L: 100, WD: 4e-05, RE: 0.0357, SAD: 0.4694, RMSE: 0.1590, Class1_mse: 0.1807, Class2_mse: 0.1606, Class3_mse: 0.1318, TIME:2023-05-07 20:38:19
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.008, para_reg: 0.008, para_sv_L: 100, WD: 4e-05, RE: 0.0637, SAD: 0.2859, RMSE: 0.3681, Class1_mse: 0.3893, Class2_mse: 0.2629, Class3_mse: 0.4311, TIME:2023-05-07 20:39:18
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.002, para_sv_a: 0.001, para_orth: 0.001, para_reg: 0.001, para_sv_L: 100, WD: 4e-05, RE: 0.0599, SAD: 0.6154, RMSE: 0.3978, Class1_mse: 0.3907, Class2_mse: 0.2792, Class3_mse: 0.4941, TIME:2023-05-07 20:40:16
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.002, para_sv_a: 0.001, para_orth: 0.001, para_reg: 0.00275, para_sv_L: 100, WD: 4e-05, RE: 0.0559, SAD: 0.6229, RMSE: 0.2945, Class1_mse: 0.2594, Class2_mse: 0.3163, Class3_mse: 0.3048, TIME:2023-05-07 20:41:15
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.002, para_sv_a: 0.001, para_orth: 0.001, para_reg: 0.0045000000000000005, para_sv_L: 100, WD: 4e-05, RE: 0.0195, SAD: 0.3973, RMSE: 0.3611, Class1_mse: 0.4045, Class2_mse: 0.1681, Class3_mse: 0.4465, TIME:2023-05-07 20:42:14
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.002, para_sv_a: 0.001, para_orth: 0.001, para_reg: 0.00625, para_sv_L: 100, WD: 4e-05, RE: 0.0367, SAD: 0.5756, RMSE: 0.3372, Class1_mse: 0.4112, Class2_mse: 0.1107, Class3_mse: 0.3997, TIME:2023-05-07 20:43:13
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.002, para_sv_a: 0.001, para_orth: 0.001, para_reg: 0.008, para_sv_L: 100, WD: 4e-05, RE: 0.0581, SAD: 0.2838, RMSE: 0.2355, Class1_mse: 0.1712, Class2_mse: 0.2800, Class3_mse: 0.2420, TIME:2023-05-07 20:44:12
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.002, para_sv_a: 0.001, para_orth: 0.008, para_reg: 0.001, para_sv_L: 100, WD: 4e-05, RE: 0.0301, SAD: 0.4304, RMSE: 0.2652, Class1_mse: 0.3310, Class2_mse: 0.1756, Class3_mse: 0.2656, TIME:2023-05-07 20:45:10
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.002, para_sv_a: 0.001, para_orth: 0.008, para_reg: 0.00275, para_sv_L: 100, WD: 4e-05, RE: 0.0509, SAD: 0.5848, RMSE: 0.3929, Class1_mse: 0.3817, Class2_mse: 0.3102, Class3_mse: 0.4703, TIME:2023-05-07 20:46:09
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.002, para_sv_a: 0.001, para_orth: 0.008, para_reg: 0.0045000000000000005, para_sv_L: 100, WD: 4e-05, RE: 0.0596, SAD: 0.6475, RMSE: 0.2487, Class1_mse: 0.1102, Class2_mse: 0.3086, Class3_mse: 0.2795, TIME:2023-05-07 20:47:08
